attacker,defender,overtake,year,race_name,round_number,event_date,lap_number,total_laps,race_progress,attacker_position,defender_position,attacker_lap_time,defender_lap_time,gap_ahead,pace_delta,attacker_speed_i1,defender_speed_i1,attacker_speed_i2,defender_speed_i2,attacker_finish_line_speed,defender_finish_line_speed,attacker_straight_speed,defender_straight_speed,speed_i1_delta,speed_i2_delta,speed_fl_delta,speed_st_delta,safety_car,yellow_flag,attacker_tyre_compound,defender_tyre_compound,attacker_tyre_age,defender_tyre_age,tyre_age_difference,attacker_stint,defender_stint,attacker_fresh_tyre,defender_fresh_tyre,pit_stop_involved,track,sector,sector_type,is_in_drs_zone,drs_zone_length,track_type,attacker_qualification_rank,defender_qualification_rank,air_temp,track_temp,humidity,rainfall,wind_speed,overtake_within_2,overtake_within_3,sector1_delta,sector2_delta,sector3_delta,strongest_sector,compound_mismatch,attacker_team,defender_team,same_team,gap_to_car_ahead,gap_to_car_behind,drs_train_size,race_phase,stint_phase,attacker_overtake_rate_last5,defender_defend_rate_last5,attacker_team_pace_rank,defender_team_pace_rank,team_delta,attacker_positions_gained_avg,defender_positions_gained_avg,attacker_quali_vs_teammate,defender_quali_vs_teammate,attacker_race_pace_vs_teammate,defender_race_pace_vs_teammate
OCO,SAI,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,6,5,97.006,96.583,0.8320000000003347,-0.4230000000000018,278.0,283.0,299.0,302.0,290.0,293.0,306.0,310.0,-5.0,-3.0,-3.0,-4.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,6,4,26.0,31.7,55.0,False,1.7,False,False,0.07700000000000529,-0.21999999999999886,-0.2799999999999976,0,False,Alpine,Ferrari,False,0.31999999999970896,0.7929999999996653,5,opening,fresh,0.03571428571428571,0.9473684210526315,10.0,10.0,0.0,1.5,-0.75,2.0,-1.75,-0.013455258511690715,-0.6166725441225545
HAM,OCO,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,7,6,97.188,97.006,0.7929999999996653,-0.18200000000000216,0.0,278.0,298.0,299.0,291.0,290.0,310.0,306.0,-278.0,-1.0,1.0,4.0,False,False,HARD,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,7,6,26.0,31.7,55.0,False,1.7,False,False,-0.30000000000000426,0.1769999999999996,-0.05900000000000105,1,True,Mercedes,Alpine,False,0.8320000000003347,1.1340000000000146,5,opening,fresh,0.17647058823529413,0.9137931034482759,10.0,10.0,0.0,-2.75,1.5,-0.25,2.0,1.0466218030872447,-0.013455258511690715
MAG,ZHO,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,11,10,97.219,96.615,0.1299999999996544,-0.6039999999999992,279.0,279.0,300.0,297.0,292.0,290.0,310.0,304.0,0.0,3.0,2.0,6.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,13,11,26.0,31.7,55.0,False,1.7,False,False,-0.4679999999999964,-0.27099999999999724,0.13500000000000156,2,False,Haas F1 Team,Alfa Romeo,False,1.2580000000002656,0.05900000000019645,7,opening,fresh,0.12195121951219512,0.967741935483871,10.0,10.0,0.0,-2.0,-0.5,-2.0,-0.5,1.5965177277837235,0.673169277360067
HUL,MAG,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,12,11,97.67,97.219,0.05900000000019645,-0.4510000000000076,282.0,279.0,302.0,300.0,295.0,292.0,312.0,310.0,3.0,2.0,3.0,2.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,10,13,26.0,31.7,55.0,False,1.7,False,False,-0.3689999999999998,0.06099999999999994,-0.14300000000000068,1,False,Haas F1 Team,Haas F1 Team,True,0.1299999999996544,0.46900000000005093,7,opening,fresh,0.5,0.9032258064516129,10.0,10.0,0.0,0.0,-2.0,0.0,-2.0,0.0,1.5965177277837235
VER,HUL,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,13,12,97.68,97.67,0.46900000000005093,-0.010000000000005116,284.0,282.0,307.0,302.0,296.0,295.0,318.0,312.0,2.0,5.0,1.0,6.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,15,10,26.0,31.7,55.0,False,1.7,True,True,0.125,-0.16400000000000148,0.028999999999999915,0,False,Red Bull Racing,Haas F1 Team,False,0.05900000000019645,0.3670000000001892,7,opening,fresh,0.08,0.5,10.0,10.0,0.0,0.0,0.0,1.75,0.0,0.9894268939393918,0.0
TSU,VER,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,14,13,98.171,97.68,0.3670000000001892,-0.49099999999999966,281.0,284.0,301.0,307.0,291.0,296.0,308.0,318.0,-3.0,-6.0,-5.0,-10.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,16,15,26.0,31.7,55.0,False,1.7,False,False,-0.28699999999999903,-0.1670000000000016,-0.036999999999999034,-1,False,AlphaTauri,Red Bull Racing,False,0.46900000000005093,0.022999999999683496,7,opening,fresh,0.10714285714285714,1.0,10.0,10.0,0.0,-0.25,0.0,1.75,1.75,0.13571556894194003,0.9894268939393918
BOT,TSU,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,15,14,98.763,98.171,0.022999999999683496,-0.5919999999999987,278.0,281.0,300.0,301.0,291.0,291.0,313.0,308.0,-3.0,-1.0,0.0,5.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,14,16,26.0,31.7,55.0,False,1.7,False,False,-0.4029999999999987,0.020000000000003126,-0.20899999999999963,1,False,Alfa Romeo,AlphaTauri,False,0.3670000000001892,0.3730000000000473,7,opening,fresh,0.07317073170731707,0.9807692307692307,10.0,10.0,0.0,-1.25,-0.25,0.5,1.75,-0.673169277360067,0.13571556894194003
ALB,BOT,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,16,15,98.916,98.763,0.3730000000000473,-0.1529999999999916,0.0,278.0,306.0,300.0,296.0,291.0,312.0,313.0,-278.0,6.0,5.0,-1.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,17,14,26.0,31.7,55.0,False,1.7,False,False,0.055999999999997385,0.046999999999997044,-0.2560000000000002,0,False,Williams,Alfa Romeo,False,0.022999999999683496,1.3670000000001892,7,opening,fresh,0.06896551724137931,0.9523809523809523,10.0,10.0,0.0,1.25,-1.25,2.0,0.5,2.2084795711233234,-0.673169277360067
DEV,SAR,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,18,17,100.748,99.426,0.61200000000008,-1.3220000000000027,280.0,287.0,301.0,298.0,292.0,296.0,309.0,313.0,-7.0,3.0,-4.0,-4.0,False,False,MEDIUM,HARD,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,18,20,26.0,31.7,55.0,False,1.7,False,False,-0.10999999999999943,-1.1899999999999977,-0.021999999999998465,-1,True,AlphaTauri,Williams,False,1.3670000000001892,0.4169999999999163,4,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,ALO,True,2023,Saudi Arabian Grand Prix,2,2023-03-19,3,50,0.06,2,1,94.829,95.14,0.7449999999998909,0.31100000000000705,0.0,279.0,306.0,294.0,307.0,287.0,334.0,297.0,-279.0,12.0,20.0,37.0,False,False,MEDIUM,MEDIUM,3,3,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,1,2,25.9,31.9,56.0,False,1.7,True,True,-0.21600000000000108,0.006000000000000227,0.5209999999999972,2,False,Red Bull Racing,Aston Martin,False,99.0,1.6030000000000655,2,opening,fresh,0.12,0.9782608695652174,10.0,10.0,0.0,0.5,1.25,-1.75,-2.0,-0.9894268939393918,0.013455258511690715
